"CASH FLOW WEMBII - AGOSTO 2026","","","","","","","","","","","","","","","","","","","",""
"Ingresos","mes anterior","-2.184.168","","-$3.769.982","","Egresos","","","","Egresos Plataformas","","","","","","","","","",""
"Cliente","Mes Anterior","Estado","$3.170.000","$219.933","","Concepto","$2.950.067","$3.015","","Wembii","$374.680","$355","","","Entel","Smart","","","",""
"Entel Julio 2026","","Pagado","$1.000.000","","","Softwares","$374.680","$426","","Gsuite","$49.250","$50","","","Wembii","Pro","","","",""
"Controll","","Pagado","$145.000","","","AWS","$279.000","$300","","Cursor RA","$60.000","$20","","","","Premium","","","",""
"Canal Horeca Wembii","","Pagado","$25.000","","","Meta ADS","$150.000","","","Aweber (1412)","$125.550","$135","Día 9","","","Servicio","","","",""
"Inversapiens","","Pagado","$1.000.000","","","Youtube ADS","$30.000","$32","","Chat GPT","$27.900","$30","","","","Tu Negocio Digital","","","",""
"Servicio Caco mensual","","Pagado","$250.000","","","Bastian","$80.000","$86","","Claude","$27.900","$30","","","","","","","",""
"Inversapiens Hosting","","Pagado","$150.000","","","Gonzalo","$350.000","$376","","WHMCS","$32.550","$35","Día 20","","","","","","",""
"Producción Carters","","Pagado","$500.000","","","Pedro","$550.000","$591","","Twilio MKT (8170)","$38.130","$41","Dia 4","","","","","","",""
"Zero Energy","","Pagado","$100.000","","","Martin","$500.000","$538","","Zapping (2281)","$7.900","$8","Día 28","","","","","","",""
"","","","","","","Configuración Hosting","$150.000","$161","","Youtube (2161)","$5.500","$6","Día 21","","","","","","",""
"","","","","","","Hosting","$50.000","$54","","","","","","","","","","","",""
"","","","","","","Simple Factura","$200.000","$215","Día 20","","","","","","","","","","",""
"","","","","","","Google Ads Hosting","$219.387","$236","","","","","","","","","","","",""
"","","","","","","Dominio ramironastas","$17.000","","","","","","","","","","","","",""
