"CASH FLOW WEMBII - FEBRERO 2026","","","","","","","","","","","","","","","","","","",""
"INGRESOS","mes anterior","-5.018","","-$1.805.748","","EGRESOS","","","","EGRESOS EXTRANJEROS","","","","","","","","",""
"Cliente","Mes Anterior","Estado","$2.117.735","-$800.568","","Concepto","$2.918.303","$3.040","","Wembii","$287.903","$302","","Entel","Smart","","","",""
"Entel Enero 2026","Facturado","Pagado","$1.647.735","","","Softwares","$287.903","$300","","Gsuite","$49.250","$50","","Wembii","Pro","","","",""
"Controll","Facturado","Pendiente","$270.000","","","AWS","$288.000","$300","","Crisp","$65.503","$67","","","Premium","","","",""
"JCG Campañas Meta Ads","","Pagado","$200.000","","","Meta ADS kiT","$450.000","$469","","Cursor RA","$19.700","$20","","","Servicio","","","",""
"","","","","","","Youtube ADS","$755.000","$786","","Aweber","$125.550","$135","","","Tu Negocio Digital","","","",""
"","","","","","","Bastian","$700.000","$729","","Chat GPT","$27.900","$30","","","","","","",""
"","","","","","","Gonzalo","$437.400","$456","","","","","","","","","","",""
"","","","","","","","","$0","","","","","","","","","","",""
