"CASH FLOW WEMBII - JULIO 2026","","","","","","","","","","","","","","","","","","","",""
"Ingresos","mes anterior","-2.184.168","","-$4.367.565","","Egresos","","","","Egresos Plataformas","","","","","","","","","",""
"Cliente","Mes Anterior","Estado","$1.930.000","-$377.650","","Concepto","$2.307.650","$2.501","","Wembii","$323.150","$300","","","Entel","Smart","","","",""
"Entel Febrero 2026","","Pagado","$1.000.000","","","Softwares","$323.150","$367","","Gsuite","$49.250","$50","","","Wembii","Pro","","","",""
"Controll","","Pagado","$145.000","","","AWS","$279.000","$300","","Cursor RA","$60.000","$20","","","","Premium","","","",""
"Web Caco 50% restante","","Pagado","$250.000","","","Meta ADS","$0","","","Aweber (1412)","$125.550","$135","Día 9","","","Servicio","","","",""
"Canal Horeca Wembii","","Pagado","$25.000","","","Youtube ADS","$30.000","$32","","Chat GPT","$27.900","$30","","","","Tu Negocio Digital","","","",""
"Inversapiens","","Pagado","$260.000","","","Bastian","$80.000","$86","","Claude","$27.900","$30","","","","","","","",""
"Servicio Caco mensual","","Pagado","$250.000","","","Gonzalo","$350.000","$376","","WHMCS","$32.550","$35","Día 20","","","","","","",""
"","","","","","","Pedro","$550.000","$591","","","","","","","","","","","",""
"","","","","","","Martin","$500.000","$538","","","","","","","","","","","",""
"","","","","","","Configuración Hosting","$150.000","$161","","","","","","","","","","","",""
"","","","","","","Hosting","$25.000","$27","","","","","","","","","","","",""
"","","","","","","Simple Factura","$15.000","$16","Día 20","","","","","","","","","","",""
"","","","","","","Youtube ADS (2161)","$5.500","$6","Día 21","","","","","","","","","","",""
