"CASH FLOW WEMBII - MARZO 2026","","","","","","","","","","","","","","","","","","",""
"Ingresos","mes anterior","-800.568","","-$3.989.915","","EGRESOS","","","","Gastos Extranjeros","","","","","","","","",""
"Cliente","Mes Anterior","Estado","$2.117.735","-$2.184.168","","Concepto","$4.301.903","$627","","Wembii","$287.903","$302","","Entel","Smart","","","",""
"Entel Febrero 2026","","Pendiente","$1.647.735","","","Softwares","$287.903","$327","","Gsuite","$49.250","$50","","Wembii","Pro","","","",""
"Controll","","Pendiente","$270.000","","","AWS","$264.000","$300","","Crisp","$65.503","$67","","","Premium","","","",""
"JCG Campañas Meta Ads","","Pendiente","$200.000","","","Meta ADS kiT","$600.000","","","Cursor RA","$19.700","$20","","","Servicio","","","",""
"","","","","","","Youtube ADS","$0","","","Aweber","$125.550","$135","","","Tu Negocio Digital","","","",""
"","","","","","","Bastian","$700.000","","","Chat GPT","$27.900","$30","","","","","","",""
"","","","","","","Gonzalo","$500.000","","","","","","","","","","","",""
"","","","","","","Servicio Youtube","$250.000","","","","","","","","","","","",""
"","","","","","","Camara Sony","$1.700.000","","","","","","","","","","","",""
