"CASH FLOW WEMBII - AGOSTO 2026","","","","","","","","","","","","","","","","","","","",""
"Ingresos","mes anterior","-2.184.168","","-$3.852.355","","Egresos","","","","Egresos Plataformas","","","","","","","","","",""
"Cliente","Mes Anterior","Estado","$2.623.058","$137.560","","Concepto","$2.485.498","$2.673","","Wembii","$267.908","$244","","","Entel","Smart","","","",""
"Entel Julio 2026","","Pendiente","$610.000","","","Softwares","$267.908","$288","","Gsuite Wembii","$54.684","$59","","","Wembii","Pro","","","",""
"Controll","","Pendiente","$288.058","","","AWS","$337.590","$363","","Gsuite Ark","$7.812","$8","","","","Premium","","","",""
"Canal Horeca Wembii","","Pagado","$25.000","","","Meta ADS","$300.000","$323","","Gsuite Hosping","$7.812","$8","","","","Servicio","","","",""
"Inversapiens","","Pendiente","$1.000.000","","","Bastian","$80.000","$86","","Cursor RA","$60.000","$20","","","","Tu Negocio Digital","","","",""
"Servicio Caco mensual","","Pagado","$250.000","","","Gonzalo","$350.000","$376","","Chat GPT","$27.900","$30","","","","","","","",""
"Zero Energy","","Pagado","$100.000","","","Pedro","$600.000","$645","","WHMCS","$32.550","$35","","","","","","","",""
"Suralis","","Pendiente","$350.000","","","Martin","$500.000","$538","","Twilio MKT (8170)","$38.130","$41","","","","","","","",""
"","","","","","","Hosting","$50.000","$54","","Zapping (2281)","$7.900","$8","","","","","","","",""
"","","","","","","Google Ads Hosting","","","","Youtube (2161)","$5.500","$6","","","","","","","",""
"","","","","","","","","","","Aweber (1412)","$4.650","$5","$9","","","","","","",""
"","","","","","","","","","","Rappi (1412)","$3.990","$4","$1","","","","","","",""
"","","","","","","","","","","Uber Eats (1412)","$3.990","$4","$8","","","","","","",""
"","","","","","","","","","","Netflix (Global)","$12.990","$14","28","","","","","","",""
"","","","","","","","","","","Disney","","","","","","","","","",""
